id,source,target,link_label,key
0,0,1,Completion 2007-2008,0
1,0,2,Completed,0
2,0,6,Completion 2007-2008,0
3,0,7,Completed,0
4,1,6,Completion 2007-2008,0
5,2,3,Completed,0
6,2,6,Completed,0
7,2,9,Completed,0
8,2,15,Completion 2007-2008,0
9,2,16,Completion 2007-2008,0
10,2,17,Completed,0
11,2,20,Completion 2007-2008,0
12,2,21,Completion 2007-2008,0
13,3,8,Completion 2007-2008,0
14,3,9,Completion 2007-2008,0
15,3,6,Completed,0
16,4,5,Completion 2007-2008,0
17,4,7,Completion 2007-2008,0
18,5,7,Completed,0
19,5,8,Completion 2007-2008,0
20,5,9,Completed,0
21,5,13,Completed,0
22,5,14,Completed,0
23,6,7,Completed,0
24,8,9,Completion 2007-2008,0
25,8,13,Completion 2007-2008,0
26,9,13,Completed,0
27,9,16,Completion 2007-2008,0
28,9,22,Completion 2007-2008,0
29,10,11,Completion 2007-2008,0
30,10,13,Completion 2007-2008,0
31,10,14,Completion 2007-2008,0
32,11,12,Completion 2007-2008,0
33,11,13,Completed,0
34,11,14,Completed,0
35,12,24,Completion 2007-2008,0
36,12,13,Completion 2007-2008,0
37,13,15,Completion 2007-2008,0
38,13,16,Completion 2007-2008,0
39,13,17,Completion 2007-2008,0
40,13,22,Completed,0
41,15,16,Completion 2007-2008,0
42,15,17,Completion 2007-2008,0
43,15,21,Completion 2007-2008,0
44,16,17,Completion 2007-2008,0
45,17,18,Completion 2007-2008,0
46,17,19,Completion 2007-2008,0
47,17,20,Completion 2007-2008,0
48,17,21,Completion 2007-2008,0
49,17,22,Completed,0
50,18,21,Completion 2007-2008,0
51,19,20,Completion 2007-2008,0
52,21,22,Completion 2007-2008,0
53,22,23,Completion 2007-2008,0
54,22,24,Completion 2007-2008,0
55,22,24,Completion 2007-2008,1
56,23,24,Completion 2007-2008,0
